1,經典義式系列,,咖啡拿鐵,381.4,70,咖啡因含量:黃101-200mg/杯,2022/6/10
2,經典義式系列,,焦糖瑪奇朵,275.4,80,咖啡因含量:黃101-200mg/杯,2022/6/11
3,經典義式系列,,卡布奇諾,260.5,70,咖啡因含量:黃101-200mg/杯,2022/6/12
4,經典義式系列,,美式黑咖啡,23.4,50,咖啡因含量:黃101-200mg/杯,2022/6/13
5,經典義式系列,,黑糖風味拿鐵,375.2,80,咖啡因含量:黃101-200mg/杯,2022/6/14
6,經典義式系列,,鴛鴦咖啡,231.3,70,咖啡因含量:綠100mg/杯,2022/6/15
7,經典義式系列,,香草風味拿鐵,240.5,90,咖啡因含量:黃101-200mg/杯,2022/6/16
8,經典義式系列,,拿鐵歐蕾,197.5,75,咖啡因含量:綠100mg以下/杯,2022/6/17
9,經典義式系列,,義式摩卡,368,80,咖啡因含量:黃101-200mg/杯,2022/6/18
10,精品咖啡,,莊園級美式,15.5,60,咖啡因含量:紅201mg/杯,2022/6/19
11,精品咖啡,,莊園級拿鐵,267.7,80,咖啡因含量:紅201mg/杯,2022/6/20
12,精品咖啡,,哥倫比亞,4,95,咖啡因含量:黃101-200mg/杯,2022/6/21
13,精品咖啡,,曼巴,4,95,咖啡因含量:黃101-200mg/杯,2022/6/22
14,精品咖啡,,黃金曼特寧,4,95,咖啡因含量:黃101-200mg/杯,2022/6/23
15,精品咖啡,,肯亞 精選小農,4,95,咖啡因含量:黃101-200mg/杯,2022/6/24
16,精品咖啡,,莊園老饕深焙,4,95,咖啡因含量:黃101-200mg/杯,2022/6/25
17,精品咖啡,,耶加雪菲,4,100,咖啡因含量:黃101-200mg/杯,2022/6/26
18,其他飲品,,義式巧克力,378,60,總糖量:64.1公克,2022/6/27
19,其他飲品,,愛丁堡女王紅茶,50,40,茶葉產地:印度、斯里蘭卡、尼泊爾、台灣、越南,2022/6/28
20,其他飲品,,宇治奶茶,345,50,茶葉產地:日本京都府,2022/6/29